변환,원자료,원자료,원자료,원자료
"2001/01/02","1,259.70","","1,099.07","1,185.38"
"2001/01/03","1,267.80","","1,108.07","1,205.49"
"2001/01/04","1,285.40","","1,128.53","1,193.24"
"2001/01/05","1,249.30","","1,078.01","1,190.90"
"2001/01/08","1,267.80","","1,088.71","1,215.06"
"2001/01/09","1,264.60","","1,088.67","1,196.69"
"2001/01/10","1,257.90","","1,074.67","1,187.39"
"2001/01/11","1,261.60","","1,083.57","1,181.93"
"2001/01/12","1,276.60","","1,082.41","1,214.30"
"2001/01/15","1,281.20","","1,078.50","1,218.23"
"2001/01/16","1,285.90","","1,079.91","1,212.15"
"2001/01/17","1,284.40","","1,091.06","1,210.48"
"2001/01/18","1,277.20","","1,071.25","1,194.76"
"2001/01/19","1,286.50","","1,090.44","1,213.11"
"2001/01/22","1,276.70","","1,094.05","1,193.91"
"2001/01/26","1,270.90","","1,088.57","1,175.26"
"2001/01/29","1,275.30","","1,084.48","1,178.06"
"2001/01/30","1,279.50","","1,096.17","1,174.52"
"2001/01/31","1,265.50","","1,093.78","1,172.68"
"2001/02/01","1,261.30","","1,081.22","1,181.65"
"2001/02/02","1,259.70","","1,090.41","1,180.97"
"2001/02/05","1,251.90","","1,081.79","1,172.72"
"2001/02/06","1,258.60","","1,096.58","1,180.13"
"2001/02/07","1,257.00","","1,095.71","1,170.20"
"2001/02/08","1,263.40","","1,087.54","1,173.51"
"2001/02/09","1,268.80","","1,086.63","1,166.03"
"2001/02/12","1,261.30","","1,073.68","1,167.02"
"2001/02/13","1,265.20","","1,077.22","1,179.10"
"2001/02/14","1,256.40","","1,076.15","1,156.08"
"2001/02/15","1,252.10","","1,077.08","1,149.37"
"2001/02/16","1,246.90","","1,078.59","1,128.88"
"2001/02/19","1,242.40","","1,070.71","1,134.12"
"2001/02/20","1,248.00","","1,075.63","1,149.60"
"2001/02/21","1,243.30","","1,075.33","1,131.84"
"2001/02/22","1,235.70","","1,061.73","1,124.30"
"2001/02/23","1,244.30","","1,062.87","1,126.03"
"2001/02/26","1,246.60","","1,074.75","1,143.44"
"2001/02/27","1,247.80","","1,070.98","1,134.50"
"2001/02/28","1,245.70","","1,071.48","1,144.05"
"2001/03/02","1,249.80","","1,063.70","1,164.06"
"2001/03/05","1,261.40","","1,056.98","1,179.72"
"2001/03/06","1,274.30","","1,069.49","1,180.96"
"2001/03/07","1,266.30","","1,066.81","1,182.03"
"2001/03/08","1,269.70","","1,061.62","1,179.61"
"2001/03/09","1,274.70","","1,064.29","1,189.36"
"2001/03/12","1,267.10","","1,059.01","1,180.87"
"2001/03/13","1,278.70","","1,060.50","1,188.62"
"2001/03/14","1,279.30","","1,068.67","1,170.30"
"2001/03/15","1,275.20","","1,054.76","1,161.90"
"2001/03/16","1,286.20","","1,054.26","1,155.97"
"2001/03/19","1,291.60","","1,049.36","1,158.82"
"2001/03/20","1,298.40","","1,057.16","1,167.52"
"2001/03/21","1,294.90","","1,060.96","1,180.63"
"2001/03/22","1,302.90","","1,058.02","1,167.33"
"2001/03/23","1,313.80","","1,062.04","1,167.25"
"2001/03/26","1,314.70","","1,066.09","1,169.23"
"2001/03/27","1,312.50","","1,072.35","1,178.03"
"2001/03/28","1,307.50","","1,072.86","1,168.12"
"2001/03/29","1,303.30","","1,065.96","1,155.31"
"2001/03/30","1,314.00","","1,064.27","1,159.41"
"2001/04/02","1,328.00","","1,050.22","1,162.73"
"2001/04/03","1,342.30","","1,059.01","1,182.70"
"2001/04/04","1,345.40","","1,071.18","1,207.83"
"2001/04/06","1,351.50","","1,089.70","1,211.15"
"2001/04/09","1,346.80","","1,083.81","1,216.50"
"2001/04/10","1,340.60","","1,070.25","1,199.70"
"2001/04/11","1,337.50","","1,077.15","1,189.51"
"2001/04/12","1,322.50","","1,059.44","1,174.38"
"2001/04/13","1,325.10","","1,071.26","1,182.65"
"2001/04/16","1,322.80","","1,061.21","1,176.43"
"2001/04/17","1,331.70","","1,068.57","1,183.55"
"2001/04/18","1,324.20","","1,072.53","1,169.14"
"2001/04/19","1,313.70","","1,075.04","1,160.98"
"2001/04/20","1,298.60","","1,070.79","1,165.49"
"2001/04/23","1,309.20","","1,077.97","1,181.68"
"2001/04/24","1,314.50","","1,084.12","1,179.44"
"2001/04/25","1,310.30","","1,069.94","1,172.26"
"2001/04/26","1,310.60","","1,072.94","1,176.98"
"2001/04/27","1,309.80","","1,060.82","1,182.55"
"2001/04/30","1,324.70","","1,067.70","1,179.98"
"2001/05/02","1,321.10","","1,082.69","1,179.68"
"2001/05/03","1,304.50","","1,073.04","1,168.77"
"2001/05/04","1,295.30","","1,067.32","1,153.66"
"2001/05/07","1,293.10","","1,065.16","1,154.80"
"2001/05/08","1,302.20","","1,077.27","1,160.59"
"2001/05/09","1,298.10","","1,069.10","1,148.30"
"2001/05/10","1,303.60","","1,066.43","1,155.05"
"2001/05/11","1,306.20","","1,066.11","1,151.61"
"2001/05/14","1,301.70","","1,061.62","1,139.31"
"2001/05/15","1,297.40","","1,053.38","1,134.38"
"2001/05/16","1,304.00","","1,058.79","1,145.63"
"2001/05/17","1,307.20","","1,060.09","1,154.91"
"2001/05/18","1,302.50","","1,061.88","1,149.20"
"2001/05/21","1,299.20","","1,051.13","1,143.04"
"2001/05/22","1,302.90","","1,062.29","1,142.06"
"2001/05/23","1,294.80","","1,054.78","1,120.33"
"2001/05/24","1,286.60","","1,069.94","1,100.69"
"2001/05/25","1,280.80","","1,064.67","1,098.61"
"2001/05/28","1,288.50","","1,068.50","1,107.53"
"2001/05/29","1,295.30","","1,068.46","1,114.41"
"2001/05/30","1,294.10","","1,076.62","1,105.87"
"2001/05/31","1,292.90","","1,073.39","1,106.21"
"2001/06/01","1,286.00","","1,079.31","1,087.89"
"2001/06/04","1,282.20","","1,074.59","1,086.09"
"2001/06/05","1,285.30","","1,079.45","1,086.34"
"2001/06/07","1,285.90","","1,070.25","1,088.32"
"2001/06/08","1,287.80","","1,070.18","1,095.08"
"2001/06/11","1,285.80","","1,063.35","1,092.93"
"2001/06/12","1,289.60","","1,057.44","1,087.65"
"2001/06/13","1,290.30","","1,060.71","1,100.30"
"2001/06/14","1,292.10","","1,058.71","1,104.68"
"2001/06/15","1,291.70","","1,064.09","1,114.61"
